%time core_I mic_click_I mic_click_I battery
0.068 0.243444444444444 0.12 0.002 0.999999887540746
0.069 0.243444444444444 0.12 0.002 0.999999885898766
0.07 0.243444444444444 0.12 0.002 0.999999884256782
0.071 0.243444444444444 0.12 0.002 0.999999882614797
0.072 0.243444444444444 0.12 0.002 0.999999880972812
0.073 0.243444444444444 0.12 0.002 0.999999879330828
0.074 0.243444444444444 0.12 0.002 0.999999877688843
0.075 0.243444444444444 0.12 0.002 0.999999876046858
0.076 0.243444444444444 0.12 0.002 0.999999874404874
0.077 0.243444444444444 0.12 0.002 0.999999872762889
0.078 0.243444444444444 0.12 0.002 0.999999871120904
0.079 0.243444444444444 0.12 0.002 0.99999986947892
0.08 0.243444444444444 0.12 0.002 0.999999867836935
0.081 0.243444444444444 0.12 0.002 0.999999866194951
0.082 0.243444444444444 0.12 0.002 0.999999864552966
0.083 0.243444444444444 0.12 0.002 0.999999862910981
0.084 0.243444444444444 0.12 0.002 0.999999861268997
0.085 0.243444444444444 0.12 0.002 0.999999859627012
0.086 0.243444444444444 0.12 0.002 0.999999857985027
0.087 0.243444444444444 0.12 0.002 0.999999856343043
0.088 0.243444444444444 0.12 0.002 0.999999854701058
0.089 0.243444444444444 0.12 0.002 0.999999853059073
0.09 0.243444444444444 0.12 0.002 0.999999851417089
0.091 0.243444444444444 0.12 0.002 0.999999849775104
0.092 0.243444444444444 0.12 0.002 0.999999848133119
0.093 0.243444444444444 0.12 0.002 0.999999846491135
0.094 0.290215671040655 0.0019999999999999 0.16 0.99999984484915
0.095 0.243444444444445 0.002 0.16 0.999999843207165
0.096 0.243444444444444 0.002 0.16 0.999999841443751
0.097 0.243444444444444 0.002 0.16 0.999999839470472
0.098 0.243444444444444 0.002 0.16 0.99999983749721
0.099 0.243444444444444 0.002 0.16 0.99999983561239
0.1 0.243444444444444 0.002 0.16 0.999999833727564
0.101 0.243444444444444 0.002 0.16 0.999999831842737
0.102 0.243444444444444 0.002 0.16 0.999999829957911
0.103 0.243444444444444 0.002 0.16 0.999999828073084
0.104 0.243444444444444 0.002 0.16 0.999999826188258
0.105 0.243444444444444 0.002 0.16 0.999999824303431
0.106 0.243444444444444 0.002 0.16 0.999999822418605
0.107 0.243444444444444 0.002 0.16 0.999999820533778
0.108 0.243444444444444 0.002 0.16 0.999999818648951
0.109 0.243444444444444 0.002 0.16 0.999999816764125
0.11 0.243444444444444 0.002 0.16 0.999999814879298
0.111 0.243444444444444 0.002 0.16 0.999999812994472
0.112 0.243444444444444 0.002 0.16 0.999999811109645
0.113 0.243444444444444 0.002 0.16 0.999999809224819
0.114 0.243444444444444 0.002 0.16 0.999999807339992
0.115 0.243444444444444 0.002 0.16 0.999999805455166
0.116 0.243444444444444 0.002 0.16 0.999999803570339
0.117 0.243444444444444 0.002 0.16 0.999999801685513
0.118 0.243444444444444 0.002 0.16 0.999999799800686
0.119 0.243444444444444 0.002 0.16 0.99999979791586
0.12 0.243444444444444 0.002 0.16 0.999999796031033
0.121 0.243444444444444 0.002 0.16 0.999999794146207
0.122 0.243444444444444 0.002 0.16 0.99999979226138
0.123 0.243444444444444 0.002 0.16 0.999999790376554
0.124 0.287816858979924 0.12 0.00199999999999986 0.999999788491727
0.125 0.243444444444445 0.12 0.002 0.999999786606901
0.126 0.243444444444444 0.12 0.002 0.999999784843503
0.127 0.243444444444444 0.12 0.002 0.999999783117847
0.128 0.243444444444444 0.12 0.002 0.999999781392188
0.129 0.243444444444444 0.12 0.002 0.999999779750208
0.13 0.243444444444444 0.12 0.002 0.999999778108224
0.131 0.243444444444444 0.12 0.002 0.999999776466239
0.132 0.243444444444444 0.12 0.002 0.999999774824255
0.133 0.243444444444444 0.12 0.002 0.99999977318227
0.134 0.243444444444444 0.12 0.002 0.999999771540286
0.135 0.243444444444444 0.12 0.002 0.999999769898301
0.136 0.243444444444444 0.12 0.002 0.999999768256317
0.137 0.243444444444444 0.12 0.002 0.999999766614332
0.138 0.243444444444444 0.12 0.002 0.999999764972348
0.139 0.243444444444444 0.12 0.002 0.999999763330363
0.14 0.243444444444444 0.12 0.002 0.999999761688378
0.141 0.243444444444444 0.12 0.002 0.999999760046394
0.142 0.243444444444444 0.12 0.002 0.999999758404409
0.143 0.243444444444444 0.12 0.002 0.999999756762425
0.144 0.243444444444444 0.12 0.002 0.99999975512044
0.145 0.243444444444444 0.12 0.002 0.999999753478456
0.146 0.243444444444444 0.12 0.002 0.999999751836471
0.147 0.243444444444444 0.12 0.002 0.999999750194487
0.148 0.243444444444444 0.12 0.002 0.999999748552502
0.149 0.243444444444444 0.12 0.002 0.999999746910518
0.15 0.243444444444444 0.12 0.002 0.999999745268533
0.151 0.243444444444444 0.12 0.002 0.999999743626548
0.152 0.243444444444444 0.12 0.002 0.999999741984564
0.153 0.243444444444444 0.12 0.002 0.999999740342579
0.154 0.290176846117893 0.0019999999999999 0.16 0.999999738700595
0.155 0.243444444444446 0.002 0.16 0.99999973705861
0.156 0.243444444444444 0.002 0.16 0.999999735295196
0.157 0.243444444444444 0.002 0.16 0.999999733321991
0.158 0.243444444444444 0.002 0.16 0.999999731348802
0.159 0.243444444444444 0.002 0.16 0.999999729463983
0.16 0.243444444444444 0.002 0.16 0.999999727579156
0.161 0.243444444444444 0.002 0.16 0.99999972569433
0.162 0.243444444444444 0.002 0.16 0.999999723809503
0.163 0.243444444444444 0.002 0.16 0.999999721924677
0.164 0.243444444444444 0.002 0.16 0.99999972003985
0.165 0.243444444444444 0.002 0.16 0.999999718155024
0.166 0.243444444444444 0.002 0.16 0.999999716270198
0.167 0.243444444444444 0.002 0.16 0.999999714385371
0.168 0.243444444444444 0.002 0.16 0.999999712500545
0.169 0.243444444444444 0.002 0.16 0.999999710615718
0.17 0.243444444444444 0.002 0.16 0.999999708730892
0.171 0.243444444444444 0.002 0.16 0.999999706846066
0.172 0.243444444444444 0.002 0.16 0.999999704961239
0.173 0.243444444444444 0.002 0.16 0.999999703076413
0.174 0.243444444444444 0.002 0.16 0.999999701191586
0.175 0.243444444444444 0.002 0.16 0.99999969930676
0.176 0.243444444444444 0.002 0.16 0.999999697421934
0.177 0.243444444444444 0.002 0.16 0.999999695537107
0.178 0.243444444444444 0.002 0.16 0.999999693652281
0.179 0.243444444444444 0.002 0.16 0.999999691767454
0.18 0.243444444444444 0.002 0.16 0.999999689882628
0.181 0.243444444444444 0.002 0.16 0.999999687997802
0.182 0.243444444444444 0.002 0.16 0.999999686112975
0.183 0.243444444444444 0.002 0.16 0.999999684228149
0.184 0.288042372981753 0.12 0.00199999999999986 0.999999682343322
0.185 0.243444444444444 0.12 0.002 0.999999680458496
0.186 0.243444444444444 0.12 0.002 0.999999678695098
0.187 0.243444444444444 0.12 0.002 0.999999676969016
0.188 0.243444444444444 0.12 0.002 0.999999675242932
0.189 0.243444444444444 0.12 0.002 0.999999673600953
0.19 0.243444444444444 0.12 0.002 0.999999671958968
0.191 0.243444444444444 0.12 0.002 0.999999670316984
0.192 0.243444444444444 0.12 0.002 0.999999668675
0.193 0.243444444444444 0.12 0.002 0.999999667033015
0.194 0.243444444444444 0.12 0.002 0.999999665391031
0.195 0.243444444444444 0.12 0.002 0.999999663749046
0.196 0.243444444444444 0.12 0.002 0.999999662107062
0.197 0.243444444444444 0.12 0.002 0.999999660465077
0.198 0.243444444444444 0.12 0.002 0.999999658823093
0.199 0.243444444444444 0.12 0.002 0.999999657181109
0.2 0.243444444444444 0.12 0.002 0.999999655539124
0.201 0.243444444444444 0.12 0.002 0.99999965389714
0.202 0.243444444444444 0.12 0.002 0.999999652255155
0.203 0.243444444444444 0.12 0.002 0.999999650613171
0.204 0.243444444444444 0.12 0.002 0.999999648971186
0.205 0.243444444444444 0.12 0.002 0.999999647329202
