%time SoC_Batt I_Tot_Bus I_to_Batt Air Temp Meth Mic CPU RF
78 0.932393278564 0.156 0.0936239794286 0.002 0.002 0.002 0.15 0 0
79 0.932388777411 13.008 0.0936239794286 0.002 0.002 0.002 0.002 13 0
80 0.932384276258 13.008 9.22099954286 0.002 0.002 0.002 0.002 13 0
81 0.931940958973 13.008 9.22099954286 0.002 0.002 0.002 0.002 13 0
82 0.931497641687 13.008 9.22099954286 0.002 0.002 0.002 0.002 13 0
83 0.931054324401 13.008 9.22099954286 0.002 0.002 0.002 0.002 13 0
84 0.930611007116 13.008 9.22099954286 0.002 0.002 0.002 0.002 13 0
85 0.93016768983 0.11 9.22099954286 0.002 0.002 0.002 0.002 0.002 0.1
86 0.929724372544 0.11 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.1
87 0.929721355771 0.11 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.1
88 0.929718338999 0.11 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.1
89 0.929715322226 0.11 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.1
90 0.929712305453 0.11 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.1
91 0.929709288681 0.11 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.1
92 0.929706271908 0.11 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.1
93 0.929703255135 0.11 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.1
94 0.929700238363 0.11 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.1
95 0.92969722159 0.11 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.1
96 0.929694204817 0.11 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.1
97 0.929691188045 0.11 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.1
98 0.929688171272 0.11 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.1
99 0.929685154499 0.11 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.1
100 0.929682137727 0.11 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.1
101 0.929679120954 0.11 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.1
102 0.929676104181 0.11 0.0627488714286 0.002 0.002 0.002 0.002 0.002 0.1
