%time core_I mic_click_I battery
0 0 0 0
0.001 0.304235144576918 0 1
0.002 0.288522219452037 0 1
0.003 0.292991735130844 0.16 1
0.004 0.243444444444444 0.16 0.999999999433643
0.005 0.243444444444444 0.16 0.999999997845696
0.006 0.243444444444444 0.16 0.999999995794093
0.007 0.243444444444444 0.16 0.999999993827753
0.008 0.243444444444444 0.16 0.999999991955091
0.009 0.243444444444444 0.16 0.999999990082421
0.01 0.243444444444444 0.16 0.999999988209752
0.011 0.243444444444444 0.16 0.999999986337083
0.012 0.243444444444444 0.16 0.999999984464413
0.013 0.243444444444444 0.16 0.999999982591744
0.014 0.243444444444444 0.16 0.999999980719075
0.015 0.243444444444444 0.16 0.999999978846405
0.016 0.243444444444444 0.16 0.999999976973736
0.017 0.243444444444444 0.16 0.999999975101067
0.018 0.243444444444444 0.16 0.999999973228397
0.019 0.243444444444444 0.16 0.999999971355728
0.02 0.243444444444444 0.16 0.999999969483058
0.021 0.243444444444444 0.16 0.999999967610389
0.022 0.243444444444444 0.16 0.99999996573772
0.023 0.243444444444444 0.16 0.99999996386505
0.024 0.243444444444444 0.16 0.999999961992381
0.025 0.243444444444444 0.16 0.999999960119712
0.026 0.243444444444444 0.16 0.999999958247042
0.027 0.243444444444444 0.16 0.999999956374373
0.028 0.243444444444444 0.16 0.999999954501704
0.029 0.243444444444444 0.16 0.999999952629034
0.03 0.243444444444444 0.16 0.999999950756365
0.031 0.243444444444444 0.16 0.999999948883696
0.032 0.243444444444444 0.16 0.999999947011026
0.033 0.274231334104481 0.00199999999999986 0.999999945138357
0.034 0.243444444444444 0.002 0.999999943265688
0.035 0.243444444444444 0.002 0.999999941870713
0.036 0.243444444444444 0.002 0.999999940895835
0.037 0.243444444444444 0.002 0.999999939920942
0.038 0.243444444444444 0.002 0.99999993900363
0.039 0.243444444444444 0.002 0.999999938086315
0.04 0.243444444444444 0.002 0.999999937169001
0.041 0.243444444444444 0.002 0.999999936251686
0.042 0.243444444444444 0.002 0.999999935334372
0.043 0.243444444444444 0.002 0.999999934417057
0.044 0.243444444444444 0.002 0.999999933499743
0.045 0.243444444444444 0.002 0.999999932582428
0.046 0.243444444444444 0.002 0.999999931665114
0.047 0.243444444444444 0.002 0.999999930747799
0.048 0.243444444444444 0.002 0.999999929830484
0.049 0.243444444444444 0.002 0.99999992891317
0.05 0.243444444444444 0.002 0.999999927995855
0.051 0.243444444444444 0.002 0.999999927078541
0.052 0.243444444444444 0.002 0.999999926161226
0.053 0.243444444444444 0.002 0.999999925243912
0.054 0.243444444444444 0.002 0.999999924326597
0.055 0.243444444444444 0.002 0.999999923409283
0.056 0.243444444444444 0.002 0.999999922491968
0.057 0.243444444444444 0.002 0.999999921574653
0.058 0.243444444444444 0.002 0.999999920657339
0.059 0.243444444444444 0.002 0.999999919740024
0.06 0.243444444444444 0.002 0.99999991882271
0.061 0.243444444444444 0.002 0.999999917905395
0.062 0.243444444444444 0.002 0.999999916988081
0.063 0.243444444444444 0.002 0.999999916070766
0.064 0.243444444444444 0.002 0.999999915153452
0.065 0.243444444444444 0.002 0.999999914236137
0.066 0.243444444444444 0.002 0.999999913318822
0.067 0.243444444444444 0.002 0.999999912401508
0.068 0.243444444444444 0.002 0.999999911484193
0.069 0.243444444444444 0.002 0.999999910566879
0.07 0.243444444444444 0.002 0.999999909649564
0.071 0.243444444444444 0.002 0.99999990873225
0.072 0.243444444444444 0.002 0.999999907814935
0.073 0.243444444444444 0.002 0.999999906897621
0.074 0.243444444444444 0.002 0.999999905980306
0.075 0.243444444444444 0.002 0.999999905062991
0.076 0.243444444444444 0.002 0.999999904145677
0.077 0.243444444444444 0.002 0.999999903228362
0.078 0.243444444444444 0.002 0.999999902311048
0.079 0.243444444444444 0.002 0.999999901393733
0.08 0.243444444444444 0.002 0.999999900476419
0.081 0.243444444444444 0.002 0.999999899559104
0.082 0.243444444444444 0.002 0.99999989864179
0.083 0.243444444444444 0.002 0.999999897724475
0.084 0.243444444444444 0.002 0.99999989680716
0.085 0.243444444444444 0.002 0.999999895889846
0.086 0.243444444444444 0.002 0.999999894972531
0.087 0.243444444444444 0.002 0.999999894055217
0.088 0.243444444444444 0.002 0.999999893137902
0.089 0.243444444444444 0.002 0.999999892220588
0.09 0.243444444444444 0.002 0.999999891303273
0.091 0.243444444444444 0.002 0.999999890385958
0.092 0.243444444444444 0.002 0.999999889468644
0.093 0.243444444444444 0.002 0.999999888551329
0.094 0.243444444444444 0.002 0.999999887634015
0.095 0.243444444444444 0.002 0.9999998867167
0.096 0.243444444444444 0.002 0.999999885799386
0.097 0.243444444444444 0.002 0.999999884882071
0.098 0.243444444444444 0.002 0.999999883964757
0.099 0.243444444444444 0.002 0.999999883047442
0.1 0.243444444444444 0.002 0.999999882130127
0.101 0.243444444444444 0.002 0.999999881212813
0.102 0.243444444444444 0.002 0.999999880295498
0.103 0.243444444444444 0.002 0.999999879378184
0.104 0.243444444444444 0.002 0.999999878460869
0.105 0.243444444444444 0.002 0.999999877543555
0.106 0.243444444444444 0.002 0.99999987662624
0.107 0.243444444444444 0.002 0.999999875708926
0.108 0.243444444444444 0.002 0.999999874791611
0.109 0.243444444444444 0.002 0.999999873874296
0.11 0.243444444444444 0.002 0.999999872956982
0.111 0.243444444444444 0.002 0.999999872039667
0.112 0.243444444444444 0.002 0.999999871122353
0.113 0.243444444444444 0.002 0.999999870205038
0.114 0.243444444444444 0.002 0.999999869287724
0.115 0.243444444444444 0.002 0.999999868370409
0.116 0.243444444444444 0.002 0.999999867453095
0.117 0.243444444444444 0.002 0.99999986653578
0.118 0.243444444444444 0.002 0.999999865618465
0.119 0.243444444444444 0.002 0.999999864701151
0.12 0.243444444444444 0.002 0.999999863783836
0.121 0.243444444444444 0.002 0.999999862866522
0.122 0.243444444444444 0.002 0.999999861949207
0.123 0.243444444444444 0.002 0.999999861031893
0.124 0.243444444444444 0.002 0.999999860114578
0.125 0.243444444444444 0.002 0.999999859197264
0.126 0.243444444444444 0.002 0.999999858279949
0.127 0.243444444444444 0.002 0.999999857362634
0.128 0.243444444444444 0.002 0.99999985644532
0.129 0.243444444444444 0.002 0.999999855528005
0.13 0.243444444444444 0.002 0.999999854610691
0.131 0.243444444444444 0.002 0.999999853693376
0.132 0.243444444444444 0.002 0.999999852776062
0.133 0.243444444444444 0.002 0.999999851858747
0.134 0.243444444444444 0.002 0.999999850941433
0.135 0.243444444444444 0.002 0.999999850024118
0.136 0.243444444444444 0.002 0.999999849106803
0.137 0.243444444444444 0.002 0.999999848189489
0.138 0.243444444444444 0.002 0.999999847272174
0.139 0.243444444444444 0.002 0.99999984635486
0.14 0.243444444444444 0.002 0.999999845437545
0.141 0.243444444444444 0.002 0.999999844520231
0.142 0.243444444444444 0.002 0.999999843602916
0.143 0.243444444444444 0.002 0.999999842685601
0.144 0.243444444444444 0.002 0.999999841768287
0.145 0.243444444444444 0.002 0.999999840850972
0.146 0.243444444444444 0.002 0.999999839933658
0.147 0.243444444444444 0.002 0.999999839016343
0.148 0.243444444444444 0.002 0.999999838099029
0.149 0.243444444444444 0.002 0.999999837181714
0.15 0.243444444444444 0.002 0.9999998362644
0.151 0.243444444444444 0.002 0.999999835347085
0.152 0.243444444444444 0.002 0.999999834429771
0.153 0.243444444444444 0.002 0.999999833512457
0.154 0.243444444444444 0.002 0.999999832595142
0.155 0.243444444444444 0.002 0.999999831677828
0.156 0.243444444444444 0.002 0.999999830760513
0.157 0.243444444444444 0.002 0.999999829843199
0.158 0.243444444444444 0.002 0.999999828925884
0.159 0.243444444444444 0.002 0.99999982800857
0.16 0.243444444444444 0.002 0.999999827091255
0.161 0.243444444444444 0.002 0.999999826173941
0.162 0.243444444444444 0.002 0.999999825256627
0.163 0.243444444444444 0.002 0.999999824339312
0.164 0.243444444444444 0.002 0.999999823421998
0.165 0.243444444444444 0.002 0.999999822504683
0.166 0.243444444444444 0.002 0.999999821587369
0.167 0.243444444444444 0.002 0.999999820670054
0.168 0.243444444444444 0.002 0.99999981975274
0.169 0.243444444444444 0.002 0.999999818835425
0.17 0.243444444444444 0.002 0.999999817918111
0.171 0.243444444444444 0.002 0.999999817000797
0.172 0.243444444444444 0.002 0.999999816083482
0.173 0.243444444444444 0.002 0.999999815166168
0.174 0.243444444444444 0.002 0.999999814248853
0.175 0.243444444444444 0.002 0.999999813331539
0.176 0.243444444444444 0.002 0.999999812414224
0.177 0.243444444444444 0.002 0.99999981149691
0.178 0.243444444444444 0.002 0.999999810579595
0.179 0.243444444444444 0.002 0.999999809662281
0.18 0.243444444444444 0.002 0.999999808744967
0.181 0.243444444444444 0.002 0.999999807827652
0.182 0.243444444444444 0.002 0.999999806910338
0.183 0.243444444444444 0.002 0.999999805993023
0.184 0.243444444444444 0.002 0.999999805075709
0.185 0.243444444444444 0.002 0.999999804158394
0.186 0.243444444444444 0.002 0.99999980324108
0.187 0.243444444444444 0.002 0.999999802323765
0.188 0.243444444444444 0.002 0.999999801406451
0.189 0.243444444444444 0.002 0.999999800489137
0.19 0.243444444444444 0.002 0.999999799571822
0.191 0.243444444444444 0.002 0.999999798654508
0.192 0.243444444444444 0.002 0.999999797737193
0.193 0.243444444444444 0.002 0.999999796819879
0.194 0.243444444444444 0.002 0.999999795902564
0.195 0.243444444444444 0.002 0.99999979498525
0.196 0.243444444444444 0.002 0.999999794067935
0.197 0.243444444444444 0.002 0.999999793150621
0.198 0.243444444444444 0.002 0.999999792233306
0.199 0.243444444444444 0.002 0.999999791315992
0.2 0.243444444444444 0.002 0.999999790398678
0.201 0.243444444444444 0.002 0.999999789481363
0.202 0.243444444444444 0.002 0.999999788564049
0.203 0.243444444444444 0.002 0.999999787646734
0.204 0.243444444444444 0.002 0.99999978672942
0.205 0.243444444444444 0.002 0.999999785812105
0.206 0.243444444444444 0.002 0.999999784894791
0.207 0.243444444444444 0.002 0.999999783977476
0.208 0.243444444444444 0.002 0.999999783060162
0.209 0.243444444444444 0.002 0.999999782142848
0.21 0.243444444444444 0.002 0.999999781225533
0.211 0.243444444444444 0.002 0.999999780308219
0.212 0.243444444444444 0.002 0.999999779390904
0.213 0.243444444444444 0.002 0.99999977847359
0.214 0.243444444444444 0.002 0.999999777556275
0.215 0.243444444444444 0.002 0.999999776638961
0.216 0.243444444444444 0.002 0.999999775721646
0.217 0.243444444444444 0.002 0.999999774804332
0.218 0.243444444444444 0.002 0.999999773887018
0.219 0.243444444444444 0.002 0.999999772969703
0.22 0.243444444444444 0.002 0.999999772052389
0.221 0.243444444444444 0.002 0.999999771135074
0.222 0.243444444444444 0.002 0.99999977021776
0.223 0.243444444444444 0.002 0.999999769300445
0.224 0.243444444444444 0.002 0.999999768383131
0.225 0.243444444444444 0.002 0.999999767465816
0.226 0.243444444444444 0.002 0.999999766548502
0.227 0.243444444444444 0.002 0.999999765631188
0.228 0.243444444444444 0.002 0.999999764713873
0.229 0.243444444444444 0.002 0.999999763796559
0.23 0.243444444444444 0.002 0.999999762879244
0.231 0.243444444444444 0.002 0.99999976196193
0.232 0.243444444444444 0.002 0.999999761044615
0.233 0.243444444444444 0.002 0.999999760127301
0.234 0.243444444444444 0.002 0.999999759209986
0.235 0.243444444444444 0.002 0.999999758292672
