%time Master_Adderess Master_Data Bus_Data
8586 401 1 1
8604 501 1 1
8640 101 1 1
8670 201 1 1
8676 301 1 1
8706 401 1 1
8724 501 1 1
8760 101 1 1
8790 201 1 1
8796 301 1 1
8826 401 1 1
8844 501 1 1
8880 101 1 1
8910 201 1 1
8916 301 1 1
8946 401 1 1
8964 501 1 1
9000 101 1 1
9030 201 1 1
9036 301 1 1
9066 401 1 1
9084 501 1 1
9120 101 1 1
9150 201 1 1
9156 301 1 1
9186 401 1 1
9204 501 1 1
9240 101 1 1
9270 201 1 1
9276 301 1 1
9306 401 1 1
9324 501 1 1
9360 101 1 1
9390 201 1 1
9396 301 1 1
9426 401 1 1
9444 501 1 1
9480 101 1 1
9510 201 1 1
9516 301 1 1
9546 401 1 1
9564 501 1 1
9600 101 1 1
9630 201 1 1
9636 301 1 1
9666 401 1 1
9684 501 1 1
9720 101 1 1
9750 201 1 1
9756 301 1 1
9786 401 1 1
9804 501 1 1
9840 101 1 1
9870 201 1 1
9876 301 1 1
9906 401 1 1
9924 501 1 1
9960 101 1 1
9990 201 1 1
9996 301 1 1
10026 401 1 1
10044 501 1 1
10080 101 1 1
10110 201 1 1
10116 301 1 1
10146 401 1 1
10164 501 1 1
10200 101 1 1
10230 201 1 1
10236 301 1 1
10266 401 1 1
10284 501 1 1
10320 101 1 1
10350 201 1 1
10356 301 1 1
10386 401 1 1
10404 501 1 1
10440 101 1 1
10470 201 1 1
10476 301 1 1
10506 401 1 1
10524 501 1 1
10560 101 1 1
10590 201 1 1
10596 301 1 1
10626 401 1 1
10644 501 1 1
10680 101 1 1
10710 201 1 1
10716 301 1 1
10746 401 1 1
10764 501 1 1
10800 101 1 1
10830 201 1 1
10836 301 1 1
10866 401 1 1
10884 501 1 1
10920 101 1 1
10950 201 1 1
10956 301 1 1
10986 401 1 1
11004 501 1 1
11040 101 1 1
11070 201 1 1
11076 301 1 1
11106 401 1 1
11124 501 1 1
11160 101 1 1
11190 201 1 1
11196 301 1 1
11226 401 1 1
11244 501 1 1
11280 101 1 1
11310 201 1 1
11316 301 1 1
11346 401 1 1
11364 501 1 1
11400 101 1 1
11430 201 1 1
11436 301 1 1
11466 401 1 1
11484 501 1 1
11520 101 1 1
11550 201 1 1
11556 301 1 1
11586 401 1 1
11604 501 1 1
11640 101 1 1
11670 201 1 1
11676 301 1 1
11706 401 1 1
11724 501 1 1
11760 101 1 1
11790 201 1 1
11796 301 1 1
11826 401 1 1
11844 501 1 1
11880 101 1 1
11910 201 1 1
11916 301 1 1
11946 401 1 1
11964 501 1 1
12000 101 1 1
12030 201 1 1
12036 301 1 1
12066 401 1 1
12084 501 1 1
12120 101 1 1
12150 201 1 1
12156 301 1 1
12186 401 1 1
12204 501 1 1
12240 101 1 1
12270 201 1 1
12276 301 1 1
12306 401 1 1
12324 501 1 1
12360 101 1 1
12390 201 1 1
12396 301 1 1
12426 401 1 1
12444 501 1 1
12480 101 1 1
12510 201 1 1
12516 301 1 1
12546 401 1 1
12564 501 1 1
12600 101 1 1
12630 201 1 1
12636 301 1 1
12666 401 1 1
12684 501 1 1
12720 101 1 1
12750 201 1 1
12756 301 1 1
12786 401 1 1
12804 501 1 1
12840 101 1 1
12870 201 1 1
12876 301 1 1
12906 401 1 1
12924 501 1 1
12960 101 1 1
12990 201 1 1
12996 301 1 1
13026 401 1 1
13044 501 1 1
13080 101 1 1
13110 201 1 1
13116 301 1 1
13146 401 1 1
13164 501 1 1
13200 101 1 1
13230 201 1 1
13236 301 1 1
13266 401 1 1
13284 501 1 1
